# schema=range-replay-measurement/v1
# complete=true
# cache_condition=warm_after_one_warmup_per_row
# data_file=/tmp/range-replay-vps.1fRZZs/data-2g.bin
# data_file_bytes=2147483648
# required_data_bytes=805502975
# logical_bytes_per_workload=268435456
# warmups_per_row=1
# measured_repetitions=8
# max_byte_budget_depth=16
# clock_ticks_per_second=100
workload	pattern	backend	submitted_depth	phase	repetition	logical_range_bytes	read_size_bytes	byte_budget_bytes	logical_bytes	physical_bytes	physical_operations	elapsed_ns	user_cpu_ticks	system_cpu_ticks	cpu_ns	throughput_bytes_per_second	output_sha256	bytes_equal_to_pread
scattered_4k	scattered	io_uring	1	measured	2	4096	4096	65536	268435456	268435456	65536	7232869793	694	29	7230000000	37113270	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	4	measured	2	4096	4096	65536	268435456	268435456	65536	7433762325	718	25	7430000000	36110309	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	16	measured	2	4096	4096	65536	268435456	268435456	65536	7984225991	773	26	7990000000	33620723	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	pread	1	measured	2	4096	4096	65536	268435456	268435456	65536	15722722178	1547	25	15720000000	17073090	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	4	measured	3	4096	4096	65536	268435456	268435456	65536	7424706826	715	28	7430000000	36154350	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	16	measured	3	4096	4096	65536	268435456	268435456	65536	7458041339	719	27	7460000000	35992755	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	pread	1	measured	3	4096	4096	65536	268435456	268435456	65536	13635194879	1342	22	13640000000	19686954	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	1	measured	3	4096	4096	65536	268435456	268435456	65536	7269073139	702	26	7280000000	36928429	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	16	measured	4	4096	4096	65536	268435456	268435456	65536	7068491071	682	25	7070000000	37976345	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	pread	1	measured	4	4096	4096	65536	268435456	268435456	65536	14605980973	1434	26	14600000000	18378461	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	1	measured	4	4096	4096	65536	268435456	268435456	65536	7535246127	726	27	7530000000	35623979	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	4	measured	4	4096	4096	65536	268435456	268435456	65536	7019186054	679	24	7030000000	38243103	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	pread	1	measured	5	4096	4096	65536	268435456	268435456	65536	12013214190	1184	18	12020000000	22345015	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	1	measured	5	4096	4096	65536	268435456	268435456	65536	6933079354	671	22	6930000000	38718070	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	4	measured	5	4096	4096	65536	268435456	268435456	65536	7224764222	698	25	7230000000	37154908	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	16	measured	5	4096	4096	65536	268435456	268435456	65536	8100822247	775	35	8100000000	33136815	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	1	measured	6	4096	4096	65536	268435456	268435456	65536	10256133191	988	35	10230000000	26173163	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	4	measured	6	4096	4096	65536	268435456	268435456	65536	7959635476	767	28	7950000000	33724591	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	16	measured	6	4096	4096	65536	268435456	268435456	65536	7784336747	753	26	7790000000	34484049	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	pread	1	measured	6	4096	4096	65536	268435456	268435456	65536	12328834486	1210	22	12320000000	21772979	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	4	measured	7	4096	4096	65536	268435456	268435456	65536	7224481097	695	28	7230000000	37156364	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	16	measured	7	4096	4096	65536	268435456	268435456	65536	7745276419	746	29	7750000000	34657956	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
